"","Source","ParticipantID","Study_ID","ID","z_long_string","z_irv","z_psychsyn","z_evenodd","Exclude"
"75","CPC","CP0078","CP0078","QT149",-0.591329209662582,1.78597666817403,0.572449552543522,0.0265300960140997,0
"76","CPC","CP0079","CP0079","QT150",1.51175893544832,1.05511991035421,-0.0740376463840575,0.86060833177456,0
"77","CPC","CP0080","CP0080","QT151",-0.29088804607531,0.725842341761172,0.619578705075803,-0.382970412425487,0
"78","CPC","CP0081","CP0081","QT152",-0.29088804607531,-1.22575211952375,1.84918967132086,-0.17436650809203,0
"79","CPC","CP0082","CP0082","QT153",1.51175893544832,0.676494383123502,0.361995453616995,0.425741043906513,0
"80","CPC","CP0083","CP0083","QT154",-0.591329209662582,0.604387082971481,-0.786262873894856,-0.645678619120221,0
"81","CPC","CP0084","CP0084","QT155",-0.140667464281674,0.616659998062632,1.46833474863452,0.124038792418701,0
"82","CPC","CP0085","CP0085","QT156",-0.591329209662582,0.777980557218837,-1.06540437627006,-0.692095468755036,0
"83","CPC","CP0086","CP0086","QT157",-0.140667464281674,1.48011003720515,0.00588736363894912,-0.933925267790939,0
"84","CPC","CP0087","CP0087","QT158",-0.29088804607531,-0.166564258846469,0.776995583175879,0.599130895542438,0
"85","CPC","CP0088","CP0088","QT159",1.51175893544832,1.1711114752855,1.40115820616929,1.14499045282725,0
"86","CPC","CP0089","CP0089","QT160",-0.140667464281674,-0.416237264970801,-0.103860946194728,2.08386422193183,1
"87","CPC","CP0090","CP0090","QT161",0.309994281099234,-0.335022038915692,1.84918967132086,0.891437993416704,0
"88","CPC","CP0091","CP0091","QT163",0.00955311751196184,1.10526519613872,-0.391018737056671,-0.397332392971758,0
"89","CPC","CP0092","CP0092","QT164",0.00955311751196184,0.43404071766347,-0.737698083579532,-0.530712860062757,0
"90","CPC","CP0093","CP0093","QT165",-0.441108627868946,-0.814681101281811,0.716034695886294,0.233435360830235,0
"91","CPC","CP0094","CP0094","QT166",1.51175893544832,0.249332277945375,-0.501826647340488,1.02878755503922,0
"92","CPC","CP0095","CP0095","QT167",0.159773699305598,-1.31131099783898,-0.607728117515109,-0.417191919278425,0
"93","CPC","CP0096","CP0096","QT168",-0.29088804607531,0.43519546372543,1.84918967132086,0.089314874939861,0
"94","CPC","CP0097","CP0097","QT169",0.00955311751196184,0.777980557218836,0.077346339041382,-0.413356314270691,0
"95","CPC","CP0098","CP0098","QT170",-0.441108627868946,-1.19486309883393,-1.06190957604694,0.0754393932400002,0
"96","CPC","CP0099","CP0099","QT171",0.760656026480142,0.726933765156511,0.574613508286252,1.01549431815963,0
"97","CPC","CP0100","CP0100","QT172",0.910876608273778,-0.605376151287235,-1.13782892017357,-0.590508155966467,0
"98","CPC","CP0101","CP0101","QT173",-0.140667464281674,0.125458520281215,0.575343735458198,1.89449980793516,0
"99","CPC","CP0102","CP0102","QT175",0.309994281099234,0.209605026660683,0.00476073023225092,-0.937116060552893,0
"100","CPC","CP0103","CP0103","QT176",-0.441108627868946,0.124227974187265,0.149629759783657,0.174189797950497,0
"101","CPC","CP0104","CP0104","QT178",0.00955311751196184,1.16708112706969,1.51758869605567,0.302960361845061,0
"102","CPC","CP0105","CP0105","QT179",0.159773699305598,1.20124974868776,-0.0371295910500564,0.460798564567866,0
"103","CPC","CP0106","CP0106","QT180",-0.29088804607531,0.469715404946286,-0.169227227401429,1.06529095669322,0
"104","CPC","CP0107","CP0107","QT181",1.51175893544832,1.80687630187842,0.800505294925945,NA,0
"105","CPC","CP0108","CP0108","QT182",0.610435444686506,0.560638579853343,-1.62826651092074,0.663677136527099,0
"106","CPC","CP0109","CP0109","QT183",-0.29088804607531,-0.358263342662325,-0.457187873664696,-0.389829838894316,0
"107","CPC","CP0110","CP0110","QT184",-0.140667464281674,0.28278648170843,0.963503926168445,-0.756036253926358,0
"108","CPC","CP0111","CP0111","QT185",0.00955311751196184,1.01799297463394,0.12164654458848,2.08386422193183,1
"109","CPC","CP0112","CP0112","QT186",-0.29088804607531,0.812460054343624,-0.885513238080114,-0.615860314228681,0
"110","CPC","CP0113","CP0113","QT188",0.00955311751196184,-0.00301988489451307,1.46833474863452,2.08386422193183,1
"111","CPC","CP0114","CP0114","QT189",-0.140667464281674,-0.500481068646044,0.197556784405722,1.47722716837561,0
"112","CPC","CP0115","CP0115","QT190",0.00955311751196184,0.204767255071482,0.826971919645977,2.08386422193183,1
"113","CPC","CP0116","CP0116","QT192",1.51175893544832,1.59376649558224,-1.13782892017357,-1.00245903837191,0
"114","CPC","CP0117","CP0117","QT193",-0.591329209662582,1.16708112706968,0.879897352789272,-0.282828312231938,0
"115","CPC","CP0118","CP0118","QT194",0.46021486289287,1.36915695765895,1.84918967132086,0.770070923355241,0
"116","CPC","CP0119","CP0119","QT195",-0.29088804607531,0.508555711352618,-0.923783419196268,-0.962159422474963,0
"117","CPC","CP0120","CP0120","QT196",-0.29088804607531,-0.521814303346958,1.69040568544786,1.17728443386438,0
"118","CPC","CP0121","CP0121","QT198",0.159773699305598,-0.904870131655806,1.62173245545887,-0.854619293762992,0
"119","CPC","CP0122","CP0122","QT199",-0.140667464281674,-0.0705517719240445,-1.13782892017357,-0.925580154311499,0
"120","CPC","CP0123","CP0123","QT200",-0.441108627868946,0.203557049984046,-0.266615164321027,-0.236053360226705,0
"121","CPC","CP0124","CP0124","QT201",-0.140667464281674,2.01575233688773,0.949051499591816,-0.694893346723809,0
"122","CPC","CP0125","CP0125","QT203",0.00955311751196184,0.710538836464424,-0.714871672449674,0.588290970359594,0
"123","CPC","CP0126","CP0126","QT204",-0.29088804607531,0.609969268651173,0.580533516835446,-0.822398251825822,0
"124","CPC","CP0127","CP0127","QT206",-0.591329209662582,-0.564819591368443,1.84918967132086,-0.603246881721432,0
"125","CPC","CP0128","CP0128","QT207",-0.29088804607531,-1.5999395500523,1.00798720164886,0.423676792052575,0
"126","CPC","CP0129","CP0129","QT209",0.610435444686506,-0.239295953945466,0.279404472483152,1.28478935064686,0
"127","CPC","CP0130","CP0130","QT210",0.00955311751196184,-0.0194920378306972,-0.7441799074188,-0.432428979009411,0
"128","CPC","CP0131","CP0131","QT212",-0.441108627868946,-0.590844501006057,1.51758869605567,0.181775021508518,0
"129","CPC","CP0132","CP0132","QT213",1.51175893544832,0.649985604880767,-0.315628262564005,0.112202732735426,0
"130","CPC","CP0133","CP0133","QT214",-0.29088804607531,-0.207410195751574,-1.13782892017357,-0.988066399448888,0
"131","CPC","CP0134","CP0134","QT215",0.910876608273778,1.79234466623407,0.715250635907378,-1.00245903837191,0
"132","CPC","CP0135","CP0135","QT216",-0.29088804607531,1.6125069002027,-1.48350915147355,-0.428667176508236,0
"133","CPC","CP0136","CP0136","QT218",0.159773699305598,0.494881216057537,1.84918967132086,-0.853399719410746,0
"134","CPC","CP0137","CP0137","QT220",-0.441108627868946,-0.911171469835243,-0.38477243358887,-0.83081739253975,0
"135","CPC","CP0138 / CP0224","CP0138 / CP0224","QT221",0.610435444686506,-1.80475854975053,-0.774777394815357,0.0543946344278771,0
"136","CPC","CP0139","CP0139","QT222",-0.140667464281674,-0.376122507256411,-0.374944661297469,-0.945298725051768,0
"137","CPC","CP0140","CP0140","QT223",-0.29088804607531,-0.544693622808409,-1.29207789696917,2.08386422193183,1
"138","CPC","CP0141","CP0141","QT225",-0.591329209662582,0.281595641152394,1.04358102949151,-0.593619136462422,0
"139","CPC","CP0142","CP0142","QT227",-0.29088804607531,1.11646178296904,-0.637922473375323,-0.673860504266407,0
"140","CPC","CP0143","CP0143","QT228",0.159773699305598,0.796325249650992,-0.486352630350291,-0.0325101339752987,0
"141","CPC","CP0144","CP0144","QT229",-0.140667464281674,-0.127391540381267,1.27790981730948,-0.546851529094612,0
"142","CPC","CP0145","CP0145","QT230",1.06109719006741,0.85098852981952,1.42727972804859,0.94943136725181,0
